Genero,Artista,Albums
Pop,Elton John,"alb.681328570,alb.674242716,alb.620369108,alb.620369126,alb.620376920,alb.620371925,alb.630408025,alb.630408927,alb.630408990,alb.630407448,alb.630407656,alb.630407704,alb.704354049,alb.704359032,alb.611362609,alb.606388322,alb.481541963,alb.480667952,alb.528856581,alb.537694645,alb.547668602,alb.557477704,alb.551509576,alb.562934300,alb.567245371,alb.525545625,alb.519161079,alb.436545757,alb.357984192,alb.436912731,alb.417501210,alb.458807758,alb.409500835,alb.384595529,alb.376450499,alb.620896670,alb.331503698,alb.284728959,alb.284657887,alb.719478892,alb.254224415,alb.254228604,alb.254228700,alb.219751035,alb.216978883,alb.216955703,alb.217483849,alb.359317036,alb.359297953,alb.626007968,alb.147659356,alb.141553875,alb.140997682,alb.360654155,alb.622723188,alb.122281993,alb.122282013,alb.123584115,alb.61485272,alb.61844851,alb.62245967,alb.65764977,alb.108628747,alb.194735865,alb.194742081,alb.121356747,alb.41599022,alb.42123186,alb.55440447,alb.55443427,alb.320866442,alb.413736591,alb.626025198,alb.126653656,alb.106804119,alb.114557527,alb.114554349,alb.106879535,alb.114451857,alb.57284496,alb.57270507,alb.57651282,alb.57651866,alb.57652914,alb.57647647,alb.57648916,alb.57650719,alb.107574653,alb.106806829,alb.108481357,alb.108481200,alb.108481219,alb.108481304,alb.114563334,alb.11520022,alb.58516689,alb.59371020,alb.59373982,alb.108483899,alb.22182145,alb.345402580,alb.56139923,alb.56130605,alb.57652999,alb.57649716,alb.57885044,alb.108436354,alb.114554636,alb.131252905,alb.309731,alb.6826519,alb.106841888,alb.57354359,alb.114718216,alb.57350264,alb.111932,alb.58496946,alb.60262628,alb.60266867,alb.60162736,alb.218975147,alb.340924849,alb.352506789,alb.57227302,alb.57227602,alb.234457,alb.58022248,alb.58025993,alb.58020621,alb.108665160,alb.114283324,alb.236050255,alb.113765,alb.200514,alb.231232,alb.321919986,alb.57418345,alb.57420883,alb.327369902,alb.302086,alb.56223239,alb.56241304,alb.125483627,alb.314350,alb.62558098,alb.62558116,alb.114728444,alb.234211,alb.22733962,alb.56110781,alb.56120014,alb.58522743,alb.60245755,alb.60142979,alb.114726231,alb.359310218,alb.621902942,alb.179568,alb.267716,alb.312990,alb.321538,alb.57415002,alb.114727361,alb.186991,alb.62574814,alb.62574832,alb.114724120,alb.121979,alb.56224375,alb.56240167,alb.321544,alb.56216402,alb.56217319,alb.56213401,alb.56250794,alb.132283,alb.57627361,alb.57624112,alb.56235778,alb.56258843,alb.60155055,alb.60154215,alb.114279641,alb.126828,alb.182857,alb.57355547,alb.57356156,alb.57625205,alb.57625972,alb.114279450,alb.130369744,alb.128662,alb.56222157,alb.56248957,alb.57960941,alb.57958954,alb.218975065,alb.115013,alb.57350314,alb.57351886"
Pop,Pavle Popov,"alb.242057633,alb.350821811,alb.227175002,alb.227175384,alb.351962157"
Pop,Phil Collins,"alb.379927821,alb.379927571,alb.488772673,alb.349831540,alb.349866367,alb.330289936,alb.240053137,alb.240053266,alb.240053413,alb.420053407,alb.411021400,alb.562217944,alb.229112527,alb.229112572,alb.229112408,alb.229112433,alb.435157293,alb.435157581,alb.223960434,alb.224298326,alb.223960032,alb.501554443,alb.219076310,alb.210258261,alb.216213584,alb.217972172,alb.411036220,alb.56668958,alb.56664277,alb.142249042,alb.411058298,alb.217972265,alb.223959877,alb.121546726,alb.40811679,alb.113229422,alb.116590006,alb.121420557,alb.56875859,alb.56639387,alb.56633152,alb.56635322,alb.56636119,alb.56641640,alb.56632876,alb.56637832,alb.6489075,alb.56740215,alb.325873011,alb.303625,alb.28190119,alb.133127,alb.156447,alb.316711,alb.410926594,alb.327477441,alb.25848919,alb.102280,alb.56877675,alb.41577061,alb.116561,alb.410888834,alb.261034,alb.54657968,alb.245563,alb.56662133,alb.250887,alb.56668675,alb.219077272,alb.219076365,alb.315772,alb.56672339"
Pop,Billy Joel,"alb.714602336,alb.657932324,alb.629873381,alb.371884227,alb.372212067,alb.372212228,alb.372212474,alb.395473859,alb.612473811,alb.331605923,alb.131344528,alb.396293677,alb.608620470,alb.292044767,alb.232375741,alb.232376063,alb.232369301,alb.220544186,alb.185413824,alb.138375157,alb.134835476,alb.55181445,alb.71702590,alb.70515463,alb.608880060,alb.392375775,alb.130598614,alb.61761851,alb.60591120,alb.60591332,alb.60591399,alb.59980060,alb.59980397,alb.121356747,alb.51349455,alb.62576290,alb.54099750,alb.65285910,alb.44806631,alb.56311215,alb.42459491,alb.607351274,alb.28819282,alb.56356126,alb.21921234,alb.56265475,alb.56265605,alb.165380678,alb.10504788,alb.52507813,alb.27868215,alb.8898903,alb.55421864,alb.71465656,alb.607351255,alb.656749853,alb.656738296,alb.656787408,alb.395771210,alb.293160,alb.297205,alb.56326496,alb.55870813,alb.169546,alb.302580,alb.26334088,alb.56306400,alb.278152,alb.136363,alb.71409420,alb.607338566,alb.392500534,alb.279314,alb.276721,alb.232986,alb.71424935,alb.313070,alb.249814,alb.34166588,alb.152462,alb.56267085,alb.607394120,alb.226981,alb.187800,alb.392371914,alb.184796,alb.314062,alb.56537242,alb.607593870,alb.392386851,alb.236527,alb.71607460,alb.392387122,alb.607407512,alb.115460,alb.57147185,alb.57148584,alb.122204,alb.392502820,alb.607846836,alb.110474,alb.232195,alb.261204,alb.24051823,alb.56343845,alb.395771241,alb.607457414,alb.223020,alb.56966441,alb.72399665,alb.392386832,alb.607774132,alb.232191,alb.57295130,alb.392371819,alb.241142,alb.111486741,alb.395770944,alb.607457530,alb.287478,alb.15449935,alb.56447203,alb.392501066,alb.607531336,alb.107192,alb.260768,alb.56265679,alb.395741197,alb.607369168,alb.139058,alb.15726337,alb.56541434,alb.392371768,alb.607617616,alb.200781,alb.57518419,alb.392371461,alb.608097326,alb.230930,alb.56324816,alb.56325074,alb.64903920,alb.71529866,alb.395741142,alb.607394451,alb.15726346,alb.307200"
Pop,Whitney Houston,"alb.621069494,alb.604070233,alb.602026344,alb.505167738,alb.611911933,alb.505196563,alb.484073155,alb.611728405,alb.484100884,alb.404701732,alb.331821142,alb.286527781,alb.611726139,alb.398577072,alb.264277605,alb.55422942,alb.165682312,alb.166168222,alb.142187430,alb.71702532,alb.110333795,alb.67935553,alb.68239615,alb.63932246,alb.54915906,alb.54663241,alb.54365268,alb.121545191,alb.71401312,alb.29821413,alb.55723578,alb.410261085,alb.611751207,alb.410759757,alb.55528176,alb.110898546,alb.299772,alb.196338,alb.55866680,alb.71407443,alb.55558040,alb.56837225,alb.56816501,alb.395792246,alb.607617685,alb.96850,alb.55567237,alb.57288780,alb.264143,alb.55428393,alb.56326445,alb.258092,alb.54195722,alb.56854018,alb.56815642,alb.55437706,alb.110665,alb.209469,alb.204365,alb.13610903,alb.51330611,alb.607774660,alb.395870224,alb.55871445,alb.172823667,alb.609233100,alb.55436601,alb.140946796,alb.395681332,alb.301396,alb.31833077,alb.56309856,alb.395740659"
Pop,Lionel Richie,"alb.622030121,alb.157297412,alb.591382563,alb.579229159,alb.573951881,alb.57924719,alb.114741317,alb.573189654,alb.397743187,alb.397919816,alb.628976903,alb.234689144,alb.165660489,alb.54952501,alb.56529652,alb.56529269,alb.56529605,alb.58731772,alb.107130273,alb.108633493,alb.108628473,alb.113898108,alb.367997571,alb.28142143,alb.177058856,alb.599928530,alb.56383944,alb.56388088,alb.57235475,alb.114564203,alb.114565412,alb.16346285,alb.106800200,alb.56400999,alb.56408763,alb.11414751,alb.58515594,alb.58516193,alb.59375012,alb.59371172,alb.59372405,alb.106991798,alb.106794516,alb.195069104,alb.323850606,alb.354193689,alb.611466885,alb.58000004,alb.58002090,alb.217313,alb.60243494,alb.60244883,alb.359848827,alb.627437411,alb.622730500,alb.258663,alb.56248088,alb.56220201,alb.9105932,alb.6490377,alb.58544995,alb.58547225,alb.58496881,alb.58495815,alb.108386309,alb.114714481,alb.5265761,alb.6072651,alb.58513059,alb.58513180,alb.60179442,alb.60197617,alb.60177823,alb.107126944,alb.108430629,alb.115085066,alb.5188892,alb.114716681,alb.301461,alb.56113595,alb.53353318,alb.58512032,alb.58513339,alb.114565190,alb.197013,alb.58024034,alb.58025788,alb.58075902,alb.108666669,alb.114284858,alb.58511494,alb.249370,alb.58059811,alb.58060927,alb.114743323,alb.58521758,alb.58523005,alb.114727733,alb.197666,alb.268734,alb.58522044,alb.58521567,alb.60247541,alb.359695873,alb.620898798,alb.622732175,alb.281947,alb.56085377,alb.58495261,alb.58493959,alb.58493673,alb.58495235,alb.593012723,alb.626058409,alb.622842209,alb.282304,alb.56085629,alb.56063754,alb.58522647,alb.58522882,alb.58521914,alb.58522930,alb.58521557,alb.607042274,alb.624287844,alb.621864541,alb.56087777,alb.56098406,alb.58495867,alb.58495124,alb.415297958,alb.623193331,alb.627435694,alb.603751786"
Pop,Rod Stewart,"alb.203489663,alb.573627745,alb.593010678,alb.622843516,alb.621886390,alb.624308052,alb.624321538,alb.587248006,alb.558920798,alb.559004612,alb.428781993,alb.423417996,alb.405814519,alb.453850755,alb.329608387,alb.329608413,alb.359583188,alb.359860488,alb.318848047,alb.309900528,alb.294179607,alb.256722232,alb.244104173,alb.234688055,alb.223995812,alb.223833087,alb.207255692,alb.502526401,alb.203886170,alb.202650832,alb.202650890,alb.203291990,alb.359785252,alb.431354331,alb.200933221,alb.58536222,alb.158790260,alb.139785191,alb.122113005,alb.107396889,alb.107320164,alb.107320137,alb.108127529,alb.130524004,alb.232903910,alb.321934932,alb.320819000,alb.359328722,alb.164941843,alb.321934903,alb.359296459,alb.339409844,alb.67856122,alb.67856139,alb.113726563,alb.104613125,alb.67259445,alb.67856171,alb.194735433,alb.66494417,alb.65527858,alb.60853790,alb.61325490,alb.45416930,alb.62605854,alb.105333508,alb.453848729,alb.67856185,alb.359328708,alb.622840060,alb.125399276,alb.47868435,alb.54409666,alb.202755463,alb.43713316,alb.56986311,alb.41704080,alb.41704107,alb.32258271,alb.469330159,alb.30562640,alb.54768809,alb.579571873,alb.30211218,alb.451835191,alb.29821878,alb.339097034,alb.28788140,alb.28788141,alb.428303387,alb.500413989,alb.28962369,alb.50423324,alb.28660740,alb.28660732,alb.28660735,alb.28660737,alb.28660731,alb.28660739,alb.28660738,alb.28660733,alb.28660730,alb.28660736,alb.502526271,alb.502526383,alb.458888217,alb.469067325,alb.539612718,alb.579571934,alb.28660734,alb.579571902,alb.57637610,alb.57638555,alb.24285455,alb.439002237,alb.458889771,alb.55504110,alb.54845428,alb.425676521,alb.453956477,alb.20901718,alb.20558049,alb.45943415,alb.57658996,alb.57661005,alb.193232274,alb.57379341,alb.57378074,alb.17416158,alb.411199927,alb.607773373,alb.23809956,alb.15157714,alb.17273873,alb.11821816,alb.56988559,alb.57290138,alb.56984538,alb.76025509,alb.76100107,alb.76091741,alb.57199509,alb.58513589,alb.58534665,alb.58536556,alb.195212978,alb.60141686,alb.8090820,alb.54289927,alb.57544792,alb.57296037,alb.111041277,alb.12226125,alb.7568394,alb.7490397,alb.56126276,alb.56119507,alb.338299301,alb.7416525,alb.160396349,alb.6864943,alb.6570091,alb.56986045,alb.57152958,alb.57152086,alb.6570021,alb.57149095,alb.9233799,alb.31303072,alb.39314137,alb.293599,alb.56970175,alb.56984069,alb.56988640,alb.56985983,alb.56969422,alb.56965600,alb.56969629,alb.56984552,alb.29028672,alb.5265867,alb.226688,alb.268725,alb.56078409,alb.56088760,alb.344917461,alb.275530,alb.56986398,alb.57277840,alb.395854998,alb.57289334,alb.607942898,alb.59395534,alb.58535966,alb.5265876,alb.311242,alb.55553128,alb.55551748,alb.114728986,alb.325101840"
Pop,Eric Clapton,"alb.678996198,alb.676717404,alb.661073151,alb.660958122,alb.651044337,alb.644922956,alb.629438093,alb.626917537,alb.625260191,alb.625214096,alb.626073552,alb.616139439,alb.611969594,alb.601718041,alb.585820179,alb.585821500,alb.569236411,alb.569230635,alb.578791499,alb.578762342,alb.589730984,alb.589772876,alb.568747678,alb.568841034,alb.568713096,alb.568713085,alb.556615109,alb.556615003,alb.556611687,alb.556629224,alb.556629213,alb.556643450,alb.525252909,alb.524985293,alb.525455143,alb.523193976,alb.515507548,alb.515489991,alb.509478299,alb.509631729,alb.502140443,alb.512229433,alb.512232887,alb.496407036,alb.496226060,alb.578768013,alb.486130295,alb.486117989,alb.488965664,alb.489383015,alb.488681953,alb.488417543,alb.488429444,alb.487795981,alb.489665747,alb.488459622,alb.489152222,alb.489222065,alb.489222172,alb.488966844,alb.487840413,alb.488165574,alb.487635172,alb.489808050,alb.489023573,alb.489686149,alb.489690260,alb.488265006,alb.489686385,alb.496236388,alb.556313011,alb.556326196,alb.556263840,alb.556310208,alb.556276703,alb.556636373,alb.489841342,alb.488853694,alb.487466277,alb.487415278,alb.488579240,alb.488150820,alb.487715105,alb.488365255,alb.488154937,alb.488206525,alb.487626241,alb.487859809,alb.489608626,alb.496193096,alb.488088354,alb.502120955,alb.501965692,alb.502093662,alb.523032183,alb.556317820,alb.556313718,alb.578826953,alb.578815580,alb.578832323,alb.578786542,alb.578761140,alb.578781169,alb.589731138,alb.589769726,alb.589730542,alb.589730612,alb.589730740,alb.589766342,alb.589731437,alb.464843858,alb.442880335,alb.442296234,alb.442210746,alb.428330859,alb.427413337,alb.427453942,alb.436545618,alb.331458037,alb.331445204,alb.331870566,alb.339080748,alb.359825682,alb.629446629,alb.624229642,alb.327725957,alb.297679647,alb.264068897,alb.257499994,alb.256771696,alb.257388309,alb.238792418,alb.411032473,alb.437807775,alb.703532453,alb.330907479,alb.227777828,alb.227554857,alb.227907984,alb.227822216,alb.624336887,alb.629713906,alb.622781704,alb.223831588,alb.215777183,alb.198862610,alb.186795543,alb.184936196,alb.420842000,alb.420875293,alb.454472466,alb.595950740,alb.170461425,alb.163542608,alb.163623340,alb.218989615,alb.218991262,alb.164864580,alb.164675951,alb.157902573,alb.154561154,alb.155455996,alb.156648167,alb.330963601,alb.154421967,alb.153500369,alb.194539697,alb.359785293,alb.624211446,alb.627323326,alb.131117081,alb.131117004,alb.129821141,alb.131312786,alb.129557669,alb.77323221,alb.83723679,alb.113725277,alb.359292022,alb.627281488,alb.49714067,alb.116586155,alb.116435319,alb.121356697,alb.41636417,alb.703540078,alb.40811787,alb.427651708,alb.40026894,alb.55398908,alb.55380184,alb.32140427,alb.32141588,alb.126653548,alb.140475070,alb.28190194,alb.16700079,alb.484356229,alb.58390364,alb.58391207"
Pop,Neil Diamond,"alb.717169040,alb.481578065,alb.548730392,alb.626648827,alb.593038656,alb.593039456,alb.593037950,alb.591208529,alb.591208560,alb.591208151,alb.585841944,alb.581989122,alb.581976726,alb.581977311,alb.593574368,alb.593587730,alb.593587922,alb.557899605,alb.557964248,alb.529681851,alb.624317745,alb.481610250,alb.480892555,alb.480882385,alb.481570482,alb.481546082,alb.466289231,alb.442881734,alb.442974882,alb.442877984,alb.443345076,alb.585841810,alb.585840729,alb.415895372,alb.295189815,alb.338157048,alb.359274973,alb.624288000,alb.624174455,alb.327082531,alb.382317368,alb.324540470,alb.359610659,alb.624403040,alb.324651906,alb.324021816,alb.293993860,alb.287859957,alb.272929687,alb.258609149,alb.256794825,alb.256730304,alb.623471264,alb.623439606,alb.624405522,alb.627929903,alb.623123687,alb.623155641,alb.627675709,alb.627676183,alb.622759337,alb.622843920,alb.623161183,alb.242492202,alb.241897571,alb.623471336,alb.240897375,alb.623161647,alb.239941679,alb.239862542,alb.626070484,alb.494563612,alb.205075411,alb.205075635,alb.205075474,alb.205962969,alb.205962985,alb.205963025,alb.152388505,alb.152568130,alb.180479335,alb.180145501,alb.152763001,alb.152999410,alb.172369971,alb.170871431,alb.324036114,alb.168626518,alb.164339144,alb.163853742,alb.359332651,alb.622758460,alb.164365891,alb.154494589,alb.153082091,alb.321843745,alb.626707740,alb.628660020,alb.152773574,alb.152447594,alb.152422638,alb.152413774,alb.153001118,alb.152838926,alb.152388495,alb.152761097,alb.573089394,alb.129729561,alb.123187495,alb.118886814,alb.68141845,alb.626891883,alb.593039362,alb.626002326,alb.626018847,alb.44806754,alb.154490338,alb.152862276,alb.42091586,alb.57299064,alb.152388383,alb.152839097,alb.593038834,alb.626090547,alb.621869462,alb.122630925,alb.32258102,alb.56549111,alb.152258216,alb.152413821,alb.30361500,alb.359317317,alb.57812551,alb.57813934,alb.57627950,alb.57628286,alb.114723853,alb.20379887,alb.58083325,alb.58083481,alb.152413711,alb.152839518,alb.240615634,alb.359290349,alb.56351999,alb.56352399,alb.58425673,alb.52509892,alb.12588198,alb.8750525,alb.15726365,alb.58127862,alb.58129633,alb.71235478,alb.71442354,alb.152999343,alb.593038643,alb.623125844,alb.624364659,alb.58541163,alb.6667047,alb.152860273,alb.152773221,alb.360207480,alb.104576,alb.55697393,alb.55706517,alb.329471516,alb.269395,alb.56447974,alb.138089,alb.234181,alb.58793271,alb.58821145,alb.143583767,alb.152413698,alb.152838964,alb.593039484,alb.620891072,alb.622650339,alb.57345088,alb.60155152,alb.26334093,alb.114729199,alb.58425008,alb.180980,alb.218379,alb.152761557,alb.92089,alb.185275,alb.58360989,alb.152447570,alb.152838977,alb.155498721,alb.593038686,alb.627929941,alb.621864410,alb.251577,alb.208937,alb.152999503"
Pop,Don Henley,"alb.484309584,alb.299985484,alb.291571508,alb.289160777,alb.236493898,alb.236503050,alb.230239339,alb.210000190,alb.206704749,alb.201873840,alb.200139698,alb.200811539,alb.200811522,alb.200139326,alb.359848895,alb.625624767,alb.577888187,alb.622724196,alb.154543336,alb.199930450,alb.28576948,alb.56176107,alb.56158580,alb.111435,alb.175554026,alb.175132537,alb.359815160,alb.622667745,alb.56161052,alb.56178599,alb.181071847,alb.180703469,alb.303103,alb.56192979,alb.245569,alb.160271,alb.252687,alb.57341608,alb.359902471,alb.98653,alb.56181140,alb.56207548,alb.494421236,alb.627323233,alb.166868,alb.175554080,alb.175132594,alb.359313459,alb.625573352"
